score	ordklasse	lemma	definition	genprox	kollokation	hyper	ddo_bet	ddo_dannetsemid	ddo_entryid	dn_id
2	præp.	af	bruges ved nærmere angivelse af et antal, et mål, et tidspunkt, et tidsrum m.m.	tidspunkt	stor og stærk		11.c	21000427	11000283	
5	præp.	af	i henseende til, i forhold til	henseende	hvad skal du være når du bliver stor		12	21000416	11000283	
1	præp.	af	hvad angår personlighed el. natur	personlighed	"stort antal;stor forskel;den store arbejdsløshed"		12.a	21000428	11000283	
2	præp.	af	bruges ved angivelse af at en handling foregår i et ikke nærmere bestemt omfang og uden at den afsluttes	handling	stort hjerte		13	21000417	11000283	
4	præp.	af	på et sted el. i en tilstand adskilt fra	sted	store beløb		2	21000406	11000283	
9	præp.	af	bruges ved angivelse af en del af en mængde	mængde			3	21000407	11000283	
4	præp.	af	med nogen el. noget som direkte handlende el. ansvarlig	handlende			4	21000408	11000283	
1	præp.	af	med nogen som ophavsmand el. kunstnerisk skaber	skaber			4.a	21000419	11000283	
25	præp.	af	med noget som årsag, anledning el. middel	årsag			5	21000409	11000283	
2	præp.	af	med noget som kilde	kilde			5.a	21000420	11000283	
14	præp.	af	med nogen el. noget som mål for en handling el. følelse	handling	"stram finanspolitik;stram styring;stram økonomi;stramt budget;stramt program;stramme regler;stramme rammer"		6	21000410	11000283	
9	vb.	afbryde	få til at ophøre (for kortere el. længere tid)	få	"stramme jeans bukser;den stramme nederdel;stramme cowboybukser;stram kjole;stramt greb"	"{gøre_1; handle_1}"	1	21000459	11000308	44374
4	vb.	afbryde	slå elektriske el. andre installationer fra	slå	"stramme læber;stram mund"	{afbryde_1}	1.a	21000461	11000308	47337
3	vb.	afbryde	standse en anden persons talestrøm el. aktivitet	standse	bundet stramt	{meddele_1}	2	21000460	11000308	73812
16	sb.	afdeling	organisatorisk del af et større hele	del	stramme balder	"{DN:abstract_entity}|{gruppe_1; samling_3}"	1	21000480	11000325	"17209;74149"
2	sb.	afdeling	del af et forløb el. en proces	del		{afsnit_5}	2	21000481	11000325	41030
1	sb.	afdeling	enhed på bataljonsniveau, især inden for artilleriet	enhed		{hærenhed_0}	3	21000482	11000325	42860
5	sb.	afdeling	afgrænset fysisk el. abstrakt (ansvars)område	område		{sted_1}	4	21000483	11000325	20767
15	sb.	affald	materiale el. ting som er smidt væk, kasseret el. udskilt pga. ringe (brugs)værdi	materiale	"strategiske alliancer;strategisk planlægning;strategiske overvejelser;strategisk vigtig"	{samling_1_1}	1	21000514	11000345	49408
3	sb.	affald	menneske(r) som ikke kan el. vil fungere på samfundets alm. vilkår	menneske	"strategisk betydning;strategiske mål;strategiske atomvåben;strategisk vigtig"	"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	1.a	21000515	11000345	5440
5	vb.	affyre	bevirke at et projektil afskydes el. udsendes	bevirke	"på strategiske steder;strategisk placeret;strategisk rigtig"	"{bevirke_1; fremkalde_1; udvirke_2}"	1	21000563	11000389	33128
5	vb.	affyre	ytre på en kontant, barsk el. hurtig måde	ytre	strategisk betydning	{ytre_1_1}	1.a	21000564	11000389	30879
2	sb.	affære	bemærkelsesværdig sag, ofte af politisk, forretningsmæssig el. juridisk karakter og undertiden med ubehagelige konsekvenser for de involverede	sag		{sag_1}	1	21000572	11000394	37970
5	sb.	affære	sag, anliggende, forløb	sag	strikse regler	{sag_1}	1.a	21000574	11000394	37971
2	sb.	affære	kærlighedsforhold af kortere varighed, ofte mellem to der ikke er gift med hinanden	kærlighedsforhold	"stædigt holde fast i ved;stædig som et æsel"	"{forhold_2_2; parforhold_1}"	2	21000573	11000394	70329
24	sb.	afgift	skat der skal betales ved produktion, import el. omsætning af en vare el. ydelse, og som staten opkræver for at skaffe økonomiske midler til det offentlige el. for at modvirke overforbrug el. miljøskadelig virksomhed	skat		{skat_1}	1	21000603	11000413	38317
1	sb.	afgift	beløb der betales for en ydelse, undertiden som en del af prisen	beløb			2	21000604	11000413	8443
4	sb.	afgift	beløb der skal betales til den offentlige administration for dens medvirken ved fx udstedelse af bevillinger og attester	beløb	"stærke kræfter;stærk position;stærk økonomi;stærke mænd;den stærkeste magt;det stærkeste kort;komme stærkt igen;stærkt kørende;stærkt repræsenteret;stå stærkt;stærkt besat;kun den stærkeste overlever;gøre sig stærkt gældende"		2.a	21000607	11000413	8445
1	sb.	afgift	beløb som man skal betale for at have begået en mindre ulovlighed, brudt en aftale, e.l.	beløb	"stærkt sammenhold;stærk trang;stærk mistanke;stærk modstand;stærke bånd;stærk vilje;stærk tendens;stærk tradition;stærkt ønske;stærk tro;stærkere samarbejde;stærkt knyttet til"		3	21000605	11000413	8444
2	sb.	afgift	betaling for (ret til) brug af noget	betaling	"stærke farver;stærk lugt;stærk varme;stærk sol;stærkt lys;stærkt duftende;stærkt farvet;stærkt lysende;stærkt gul;stærkt blå"	{betaling_2}	4	21000606	11000413	40006
1	sb.	afgrøde	planter (af en bestemt slags) som dyrkes med henblik på deres udnyttelse til levnedsmidler, foder m.m.	plante	"stærkt trafikeret;stærkt forenklet;stærkt svækket;stærkt medvirkende;stærkt overdrevet;stærkt engageret;stærkt beruset;stærkt stigende faldende;stærkt reduceret"	"{fødemiddel_1; fødevare_1; levnedsmiddel_1; madvare_1; spise,1_1; fødeemne_2}"	1	21000650	11000436	635
2	sb.	afgrøde	udbytte ved denne dyrkning	udbytte	"stærk kritik;stærkt kritiseret;stærkt utilfreds;stærkt interesseret;tage stærkt afstand fra;være stærkt imod;gå stærkt ind for"	{afgrøde_1}	1.a	21000651	11000436	35287
7	vb.	afgøre	tage endelig beslutning om noget der er uenighed el. tvivl om	tage	"stærk kontrast;stærkt pres;stærk vækst;stærk stigning;stærk konkurrence;stærkt behov;stærk indflydelse"	{beslutte_1}	1	21000655	11000440	49142
3	vb.	afgøre	tage en juridisk gældende beslutning	tage	"stærkt felt;stærke modstandere;det stærkeste hold;stærkt spillende;i stærkeste opstilling"	{beslutte_1}	1.a	21000658	11000440	64336
21	vb.	afgøre	blive bestemmende for et udfald, være udslagsgivende for	blive	"stærke arme;stærke hænder;stærk som en bjørn"		2	21000656	11000440	45941
6	vb.	afgøre	blive klar over hvordan noget forholder sig, definere el. identificere hvad noget er	blive	"stærke billeder;stærke sager;stærk oplevelse;gøre et stærkt indtryk"		3	21000657	11000440	45942
2	sb.	afgørelse	det at tage beslutning om noget der er uenighed el. tvivl om	beslutning	"stærk personlighed;stærk kvinde;stærke nerver;stærk i troen"	{handling_1}	1	21000660	11000441	25684
10	sb.	afgørelse	juridisk gældende beslutning som en domstol el. en offentlig myndighed tager	beslutning	"stærke smerter;stærk blæst;stærk strøm;stærkt blødende"	"{afgørelse_1; beslutning_1}"	1.a	21000662	11000441	25683
2	sb.	afgørelse	handling, begivenhed e.l. der afgør udfaldet af en kamp el. strid, det at en kamp el. strid bliver afgjort	handling	"stærk fart;køre stærkt;gå stærkt;løbe stærkt"	{afslutning_1}	2	21000661	11000441	25419
10	adj.	afhængig	som har meget brug for el. ikke kan undvære noget el. nogen	brug	det er ikke min stærke side	"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21000696	11000465	78313
6	adj.	afhængig	fysisk tilvænnet et vanedannende stof i sådan en grad at man får abstinenser hvis det ikke indtages	tilvænnet	"stærk kaffe;stærkt krydret"	"{beskaffenhed_1; egenskab_1; side_7_1}"	1.a	21000698	11000465	78379
2	adj.	afhængig	bestemt el. betinget af noget	bestemt	"stærke ord;i stærke vendinger"		2	21000697	11000465	
3	vb.	afkorte	gøre kortere, mindske i længde	gøre	"stærke drikke;stærkt øl"		1	21000747	11000501	
4	vb.	afkorte	mindske i varighed el. omfang	mindske	stærke følelser	{mindske_1}	1.a	21000748	11000501	64329
6	sb.	aflejring	lag af afsat materiale	lag	stærke briller	{lag_1}	1	21000791	11000527	20701
1	sb.	aflejring	det at aflejre	aflejre		{hændelse_1}	2	21000792	11000527	62575
8	vb.	aflyse	beslutte og meddele (offentligt) at noget planlagt alligevel ikke finder sted	beslutte		{beslutte_1}	1	21000815	11000540	72110
2	vb.	aflyse	ophæve en tinglysning	ophæve			2	21000816	11000540	
1	sb.	aflytning	det at aflytte andres samtale vha. elektronisk udstyr	aflytte		{handling_1}	1	21000819	11000542	69969
1	sb.	aflytning	det at lytte til et bånd, en radioudsendelse e.l.	lytte			2	21000820	11000542	
1	sb.	afløb	sted (åbning el. rør) hvor noget flydende strømmer bort	sted			1	21000843	11000556	5185
4	sb.	afløb	det hul el. (system af) rør hvorigennem spildevand udledes fra vask el. toilet	rør		{rør,1_1}	1.a	21000846	11000556	26374
1	sb.	afløb	mulighed for at noget flydende kan strømme bort	mulighed	"en større politistyrke;større byer;en større eftersøgning"		2	21000844	11000556	56974
6	sb.	afløb	mulighed for at komme af med indestængte følelser, energi e.l.	mulighed		{mulighed_1}	2.a	21000847	11000556	56975
1	sb.	afløb	noget flydende der strømmer bort	noget			3	21000845	11000556	
2	vb.	afpresse	tvinge en person til at give én noget (ofte penge) ved at true vedkommende, fx med at ville afsløre ubehagelige hemmeligheder	tvinge		{tvinge_1}	1	21000904	11000603	78464
1	vb.	afpresse	presse oplysninger e.l. ud af nogen el. noget	presse	"sulten og tørstig;sulten som en ulv"	{presse,2_1_5}	1.a	21000905	11000603	43640
3	sb.	afsked	det at personer siger farvel til hinanden for at skilles for længere tid	sige farvel		{handling_1}	1	21000996	11000671	71962
1	sb.	afsked	det at sige farvel til en afdød ved begravelsen el. på dødslejet	sige	"sund kost;sund levevis;sund latter;sundt arbejdsmiljø;sunde interesser"		1.a	21000998	11000671	
1	sb.	afsked	det at slippe el. afslutte et forløb	afslutte	"sund og rask;en sund sjæl i et sundt legeme"		1.b	21000999	11000671	
7	sb.	afsked	det at fratræde et embede	fratræde	"sund fornuft;sund skepsis;sund sans"		2	21000997	11000671	
1	sb.	afskærmning	det at afskærme noget	afskærme	"sund økonomi;sund forretning"		1	21001044	11000704	
1	sb.	afskærmning	noget der afskærmer	noget	sund konkurrence	"{værn_1; -værn_1}"	1.a	21001045	11000704	48780
22	sb.	afslutning	det at noget slutter el. afsluttes, det tidspunkt hvor noget slutter	slutte	sund kulør		1	21001059	11000715	37906
9	sb.	afslutning	den sidste del af et forløb	del	"surt slid;sure pligter;gøre livet surt for;surt sammensparede skillinger;surt opsparede tjente penge"	"{tidsperiode_1; tidspunkt_1_1}"	2	21001060	11000715	41032
3	sb.	afslutning	den sidste del af en tekst, fx en roman, fortælling el. stil	del	"rigtig sur;lidt sur;sur og tvær;sur og gnaven"	{del_1}	2.a	21001062	11000715	41033
1	sb.	afslutning	skud på mål som sidste del af et angreb	skud	"sure tæer;sur lugt;lugte surt"	{skud_4}	2.b	21001063	11000715	39796
1	sb.	afslutning	fuldendelse, afrunding	fuldendelse	"sure miner;surt opstød"		2.c	21001064	11000715	
1	sb.	afslutning	sammenkomst i forb. med at et (skole)forløb slutter	sammenkomst	sur nedbør regn	"{sammenkomst_1; komsammen_1}"	3	21001061	11000715	24694
17	vb.	afslutte	gøre et (længerevarende) forløb færdigt, ofte ved at udføre en sidste afrundende handling	gøre	surt og sødt	{gøre_2}	1	21001068	11000718	32918
10	vb.	afslutte	udgøre den sidste del af noget, som derved ofte fuldendes	udgøre	sur fløde mælk		1.a	21001070	11000718	
1	vb.	afslutte	holde op med en aktivitet	holde			1.b	21001071	11000718	
1	vb.	afslutte	bringe en juridisk aftale i stand	bringe			1.c	21001072	11000718	
1	vb.	afslutte	opgøre et regnskab	opgøre			1.d	21001073	11000718	
2	vb.	afslutte	skyde på mål som sidste del af et angreb	skyde	"en svær opgave;svær kamp;svært at forklare;svært at forstå"		1.e	21001074	11000718	
3	vb.	afslutte	anbringe den yderste, afgrænsende del af noget	anbringe	"svær sygdom;svære kvæstelser;svære forbrændinger;svært handicappede;svært kvæstet;i svære tilfælde"	{anbringe_1}	2	21001069	11000718	27494
3	vb.	afslutte	udgøre enden el. kanten af noget så et område afgrænses	udgøre	"det er svært at sige;det er svært at se;svært at forstå;svært at forestille sig"		2.a	21001075	11000718	
1	vb.	afslutte	gøre noget afrundet og måske fuldendt, få noget til at udgøre et samlet hele	afrunde	"svære problemer;svært spørgsmål;svære forhandlinger;svært sprog;svært tilgængelig"		2.b	21001076	11000718	
16	sb.	afsnit	mindre, form- og indholdsmæssigt afgrænset del af en tekst, undertiden adskilt fra den foregående og efterfølgende tekst ved indrykning på linjen el. tom linje	del	"svære tider;svær situation;svære år;svære stunder"	{del_1}	1	21001105	11000729	38570
9	sb.	afsnit	afrundet del af en tv- el. radioserie eller af en roman i flere dele der sendes el. bringes enkeltvis	del	svært bevæbnet	{episode_2}	2	21001106	11000729	41034
1	sb.	afsnit	afgrænset del af en bygnings indre el. af et større rum	del		{del_1}	3	21001107	11000729	41035
1	sb.	afsnit	mindre, organisatorisk del af et hospital	del			3.a	21001110	11000729	
1	sb.	afsnit	periode betragtet som del af et større tidsrum	periode		"{periode_1; tid_1; tidsrum_1}"	4	21001108	11000729	20814
1	sb.	afsnit	afgrænset del af et større hele der kan være defineret rumligt, tidsmæssigt, strukturelt el. på anden måde	del	"syge mennesker;alvorligt syg;kronisk syg;psykisk syg;ligge syg;lægge sig syg;melde sig syg;syge og gamle;syg af kræft;syg af aids;syg og dårlig"	{del_1}	5	21001109	11000729	72635
21	sb.	afstand	rumlig udstrækning der adskiller to punkter, linjer el. flader, målt som længden af en linje el. rute mellem dem	udstrækning	"syg af længsel;syg af kærlighed;syg af jalousi;syg af skræk;syg af sorg"	"{størrelse_1; udstrækning_2}"	1	21001145	11000756	8255
1	sb.	afstand	tidsmæssig udstrækning der adskiller to begivenheder	udstrækning	syg idé	"{omfang_2_1; udstrækning_1}"	1.a	21001146	11000756	8277
4	sb.	afstand	mangel på fortrolighed, kontakt el. personligt engagement	mangel		"{fornemmelse_1_2; følelse_1; sindsstemning_1}"	1.b	21001147	11000756	73416
2	sb.	afstand	forskel el. modsætningsforhold mellem to parter el. størrelser	forskel		"{forskel_1; forskel_1_1; forskellighed_1_1}"	1.c	21001148	11000756	33545
8	sb.	afstemning	det at en gruppe personer stemmer om noget, hvorved det forslag der opnår flest stemmer, vedtages, el. hvorved et forslag vedtages el. forkastes	stemme		{undersøgelse_2}	1	21001163	11000763	49141
2	sb.	afstemning	det at tilpasse noget til noget andet	tilpasse			2	21001164	11000763	
0	sb.	afstemning	det at få et regnskab til at stemme	få	"systematisk udryddelse;systematisk undersøgelse"		3	21001165	11000763	
12	vb.	afsætte	reservere til et bestemt formål	reservere		{reservere_3}	1	21001210	11000799	73252
3	vb.	afsætte	efterlade el. anbringe et mærke, et spor, en rest e.l.	efterlade	"særlige forudsætninger;særlig tilladelse;særlige regler;særlige omstændigheder;særlige forhold;særlige hensyn;særlige krav;ved særlige lejligheder;i særlig grad;i særlige tilfælde;med særligt henblik på"	{efterlade_1_1}	2	21001211	11000799	73253
1	vb.	afsætte	afmærke på papir e.l., fx for at løse en geometrisk opgave eller for at fremstille et kort el. en afbildning af noget i formindsket målestok	afmærke	"særlig(t) udsat;særlig(t) velegnet;særlig(t) følsom"		2.a	21001214	11000799	
